id,descripcion,imagen
6399031,"BIRD, NO. 20",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6399031.jpg
6403650,"FLAT TILE 1X2, NO. 361",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6403650.jpg
6404402,"ROOF TILE 1X2, DEG. 45, W/O KNOBS, NO. 4",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6404402.jpg
6405725,"CAT, NO. 25",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6405725.jpg
6408305,"BARDING 2, NO. 4",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6408305.jpg
6409509,"FLAG, NO. 8",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6409509.jpg
6409580,"FLAG, NO. 9",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6409580.jpg
6409588,"CAPE, NO. 64",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6409588.jpg
6410056,"PLATE 1X1, W/ 3.2 SHAFT & 1.5 HOLE, NO.1",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6410056.jpg
6411552,"FLAT TILE 1X1, ROUND, NO. 213",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6411552.jpg
6413018,"FLAT TILE 2X2, NO. 655",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6413018.jpg
6415719,"FLAG, W/ 2 HOLDERS, NO. 18",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6415719.jpg
6430214,"STRING 800MM, DIA. 1,0",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6430214.jpg
6416450,"CAT, W/ 1.5 HOLE, NO. 30",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6416450.jpg
6416469,"FLAT TILE 1X2, NO. 371",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6416469.jpg
6416470,"DOG, W/ HOLE, DIA. 1.5, NO. 39",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6416470.jpg
6416486,"SQUIRREL, W/ 1.5 HOLE, NO. 11",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6416486.jpg
6416593,"FLAT TILE 1X2, NO. 366",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6416593.jpg
6486018,GIANT NR. 1 RIGHT ARM,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6486018.jpg
6416635,"FLAT TILE 1X2, NO. 369",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6416635.jpg
6416645,"CAT, W/ 1.5 HOLE, NO. 28",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6416645.jpg
6553545,GIANT NO. 1 RIGHT HAND,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6553545.jpg
6553547,GIANT NO. 1 LEFT HAND,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6553547.jpg
6416680,"BUNNY, W/ 1.5 HOLE, NO. 10",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6416680.jpg
6510642,"DOG W/ WHEELS, NO. 3",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6510642.jpg
6416784,"CREATURE, NO. 163",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6416784.jpg
6417654,"TILE 2X6, NO. 15",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6417654.jpg
6417656,"FLAT TILE 1X4, NO. 193",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6417656.jpg
6417658,"FLAT TILE 1X1, ROUND, NO. 216",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6417658.jpg
6417774,"FLAT TILE 1X2, NO. 367",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6417774.jpg
6417775,"CAT, NO. 28",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6417775.jpg
6419079,"DOG, NO. 45",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6419079.jpg
6419118,"BRICK 1X4X3, NO. 10",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6419118.jpg
6420289,"TILE 3X3, CIRCLE, NO. 16",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6420289.jpg
6532103,"FLAT TILE 1X1, ROUND, NO. 218",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6532103.jpg
6420457,"BUTTERFLY, NO. 2",https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6420457.jpg
6486017,GIANT NO. 1 LEFT ARM,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6486017.jpg
